Supporting Data	Study Title	# of Subjects	Experiment Measurement Techniques	Pis	Publications	Pubmed ID	
SDY89	Systems Biology Analysis of the response to  Licensed Hepatitis B Vaccine (Engerix-B) (see companion study SDY690)	50	3	Janssen JM(1), Jackson S(1), Heyward WL(2), Janssen RS(3).	Immunogenicity of an investigational hepatitis B vaccine with a toll-like receptor 9 agonist adjuvant (HBsAg-1018) compared with a licensed hepatitis B vaccine in subpopulations of healthy adults 18-70 years of age.	26067185	10.1016/j.vaccine.2015.05.070. Epub 2015 Jun 9.
SDY89	Systems Biology Analysis of the response to  Licensed Hepatitis B Vaccine (Engerix-B) (see companion study SDY690)	50	3			29289383	
SDY1092	Transcriptional responses induced by controlled human malaria infection (CHMI)	10	1	Shekalaghe S(1), Rutaihwa M(1), Billingsley PF(1), Chemba M(1), Daubenberger CA(1), James ER(1), Mpina M(1), Ali Juma O(1), Schindler T(1), Huber E(1), Gunasekera A(1), Manoj A(1), Simon B(1), Saverino E(1), Church LW(1), Hermsen CC(1), Sauerwein RW(1), Plowe C(1), Venkatesan M(1), Sasi P(1), Lweno O(1), Mutani P(1), Hamad A(1), Mohammed A(1), Urassa A(1), Mzee T(1), Padilla D(1), Ruben A(1), Sim BK(1), Tanner M(1), Abdulla S(1), Hoffman SL(2).	Controlled human malaria infection of Tanzanians by intradermal injection of aseptic, purified, cryopreserved Plasmodium falciparum sporozoites.	25070995	10.4269/ajtmh.14-0119. Epub 2014 Jul 28.
SDY1190	Single-cell RNA-Seq analysis of MTB and DENV immune responses	16	2				
SDY278	Optimization FACS panels	1	1				
SDY395	Immune Responses to Influenza-Like Illness	33	1				
SDY400	Immunologic and genomic signatures of influenza vaccine response - 2012 (see companion studies SDY63, SDY404, SDY520)	98	2				
SDY406	Immune Responses to Influenza-Like Illness	6	3				
SDY421	Clonal B cell response to naturally occurring pathogens causing tissue specific immune responses in human	4	1				
SDY461	Monitoring of tissue-specific immune responses in man to naturally occurring pathogens using mass cytometric monitoring	7	1				
SDY472	Plasmablast response to inactivated and live attenuated influenza vaccines (TIV3/TIV3 ID) in 2013	24	3				
SDY478	T cell responses to H1N1v and a longitudinal study of seasonal influenza vaccination - 2013	70	3				
SDY508	Humoral responses to West Nile virus	12	1				
SDY517	Natural Killer cells in resistance to infection with West Nile virus	14	1				
SDY520	Immunologic and genomic signatures of influenza vaccine response - 2013 (see companion studies SDY63, SDY404, SDY400)	61	2				
SDY63	Immunologic and genomic signatures of influenza vaccine response - 2010 (see companion studies SDY400, SDY404, SDY520)	49	2				
SDY640	Immunologic and genomic signatures of influenza vaccine response - 2014	37	1				
SDY903	Human Immune Signature of Zika virus infection	29	3				
SDY1390	CRISPR-Cas9 Engineering in Primary Cell Protocol						

